provider,providerLabel,country_label,mcc,mnc
http://www.wikidata.org/entity/Q1136203,Cosmote,Greece,202,01
http://www.wikidata.org/entity/Q1136203,Cosmote,Greece,202,01
http://www.wikidata.org/entity/Q1136203,Cosmote,Greece,202,02
http://www.wikidata.org/entity/Q1136203,Cosmote,Greece,202,02
http://www.wikidata.org/entity/Q2529841,Vodafone Greece,Greece,202,05
http://www.wikidata.org/entity/Q2529841,Vodafone Greece,Greece,202,05
http://www.wikidata.org/entity/Q17031826,Vodafone Netherlands,Netherlands,204,04
http://www.wikidata.org/entity/Q28406140,T-Mobile Netherlands,Netherlands,204,20
http://www.wikidata.org/entity/Q28406140,T-Mobile Netherlands,Netherlands,204,20
http://www.wikidata.org/entity/Q338633,KPN,Netherlands,204,12
http://www.wikidata.org/entity/Q338633,KPN,Netherlands,204,12
http://www.wikidata.org/entity/Q338633,KPN,Netherlands,204,10
http://www.wikidata.org/entity/Q338633,KPN,Netherlands,204,10
http://www.wikidata.org/entity/Q338633,KPN,Netherlands,204,8
http://www.wikidata.org/entity/Q338633,KPN,Netherlands,204,8
http://www.wikidata.org/entity/Q338633,KPN,Netherlands,204,69
http://www.wikidata.org/entity/Q338633,KPN,Netherlands,204,69
http://www.wikidata.org/entity/Q24038997,Orange Belgium,Belgium,206,10
http://www.wikidata.org/entity/Q524255,SNCB/NMBS,Belgium,206,02
http://www.wikidata.org/entity/Q917050,Mobistar,Belgium,206,10
http://www.wikidata.org/entity/Q2005282,Proximus,Belgium,206,01
http://www.wikidata.org/entity/Q2005282,Proximus,Belgium,206,01
http://www.wikidata.org/entity/Q809824,BASE,,206,20
http://www.wikidata.org/entity/Q19698200,Orange France,France,208,02
http://www.wikidata.org/entity/Q19698200,Orange France,France,208,01
http://www.wikidata.org/entity/Q131005,Air France,France,208,98
http://www.wikidata.org/entity/Q131005,Air France,France,208,98
http://www.wikidata.org/entity/Q218765,SFR,France,208,10
http://www.wikidata.org/entity/Q218765,SFR,France,208,13
http://www.wikidata.org/entity/Q218765,SFR,France,208,11
http://www.wikidata.org/entity/Q218765,SFR,France,208,09
http://www.wikidata.org/entity/Q581438,Bouygues Telecom,France,208,20
http://www.wikidata.org/entity/Q581438,Bouygues Telecom,France,208,88
http://www.wikidata.org/entity/Q643290,RATP,France,208,87
http://www.wikidata.org/entity/Q1239347,Iliad,France,208,15
http://www.wikidata.org/entity/Q1239347,Iliad,France,208,15
http://www.wikidata.org/entity/Q1239347,Iliad,France,208,16
http://www.wikidata.org/entity/Q1239347,Iliad,France,208,16
http://www.wikidata.org/entity/Q2990437,Completel,France,208,08
http://www.wikidata.org/entity/Q2997375,Q2997375,,208,27
http://www.wikidata.org/entity/Q2997375,Q2997375,,208,27
http://www.wikidata.org/entity/Q3537382,Transatel,,208,22
http://www.wikidata.org/entity/Q2300422,Orange Morocco,Morocco,212,00
http://www.wikidata.org/entity/Q2300422,Orange Morocco,Morocco,212,00
http://www.wikidata.org/entity/Q939510,Post and Telecom of Kosovo,Kosovo,212,01
http://www.wikidata.org/entity/Q939510,Post and Telecom of Kosovo,Kosovo,212,01
http://www.wikidata.org/entity/Q18419318,DIGI mobil,Spain,214,22
http://www.wikidata.org/entity/Q3321994,Telecable,Spain,214,14
http://www.wikidata.org/entity/Q3359411,Orange España,Spain,214,09
http://www.wikidata.org/entity/Q3359411,Orange España,Spain,214,09
http://www.wikidata.org/entity/Q3359411,Orange España,Spain,214,03
http://www.wikidata.org/entity/Q3359411,Orange España,Spain,214,03
http://www.wikidata.org/entity/Q3815492,Jazztel,Spain,214,21
http://www.wikidata.org/entity/Q5837133,Eroski Móvil,Spain,214,24
http://www.wikidata.org/entity/Q7939295,Vodafone Spain,Spain,214,01
http://www.wikidata.org/entity/Q7939295,Vodafone Spain,Spain,214,01
http://www.wikidata.org/entity/Q7939295,Vodafone Spain,Spain,214,06
http://www.wikidata.org/entity/Q7939295,Vodafone Spain,Spain,214,06
http://www.wikidata.org/entity/Q358752,Administrador de Infraestructuras Ferroviarias,Spain,214,51
http://www.wikidata.org/entity/Q609524,Tuenti,Spain,214,32
http://www.wikidata.org/entity/Q609524,Tuenti,Spain,214,32
http://www.wikidata.org/entity/Q967735,Movistar,Spain,214,07
http://www.wikidata.org/entity/Q967735,Movistar,Spain,214,05
http://www.wikidata.org/entity/Q2630989,Yoigo,Spain,214,04
http://www.wikidata.org/entity/Q17028472,UPC Hungary,Hungary,216,71
http://www.wikidata.org/entity/Q168082,Hungarian State Railways,Hungary,216,99
http://www.wikidata.org/entity/Q268578,Telenor Hungary,Hungary,216,01
http://www.wikidata.org/entity/Q458944,Magyar Telekom,Hungary,216,30
http://www.wikidata.org/entity/Q7939283,Vodafone Hungary,Hungary,216,70
http://www.wikidata.org/entity/Q926555,A1 Hrvatska,Croatia,219,10
http://www.wikidata.org/entity/Q926555,A1 Hrvatska,Croatia,219,10
http://www.wikidata.org/entity/Q4015982,Vodafone Italia,Italy,222,10
http://www.wikidata.org/entity/Q4015982,Vodafone Italia,Italy,222,10
